source,name,norm_name,size_text,age,pro_comp,scouting_text,measurement_text
Bleacher Report mock,AJ Dybantsa,aj dybantsa,"6'9"", 210 lbs",19.0,Jaylen Brown,"The Washington Wizards may see AJ Dybantsa as the can't-lose option with the fewest holes, while some remain worried about Darryn Peterson's bizarre season or Cameron Boozer's athletic/defensive limitations. The Wizards will presumably listen to trade calls, particularly if they prefer Peterson or Boozer and know a rival team wants Dybantsa.",
Bleacher Report mock,Darryn Peterson,darryn peterson,"6'6"", 205 lbs",19.0,Anthony Edwards,"If AJ Dybantsa goes No. 1, the Utah Jazz will presumably decide between Darryn Peterson and Cameron Boozer, whose father, Carlos, works in the team's front office. On paper, Peterson looks like a cleaner fit after Utah acquired Jaren Jackson Jr., although at No. 2, CEO Danny Ainge will evaluate both players in a vacuum while looking to draft the bigger star.",
Bleacher Report mock,Cameron Boozer,cameron boozer,"6'9"", 250 lbs",18.0,Kevin Love,"Cameron Boozer left the NBA combine without any new concerns arising over his size or athletic traits. He measured almost identically to Al Horford and tested middle of the pack, as expected. Unless the Memphis Grizzlies are enamored with the idea of replacing Ja Morant with Darius Acuff Jr., they'll be picking between Boozer and Caleb Wilson.",
Bleacher Report mock,Caleb Wilson,caleb wilson,"6'10"", 215 lbs",19.0,Antonio McDyess,"Caleb Wilson should look like a strong best-player-available candidate and easy plug-and-play forward for the Chicago Bulls at the 4. There are even NBA front office members who actually prefer Wilson to Cameron Boozer, whose athletic limitations have raised some skepticism. Certain scouts sound willing to bet on Wilson's open-floor ball-handling, mid-range scoring and passing continuing to improve to complement the quickness, explosion and defensive range that Boozer lacks.",
Bleacher Report mock,Keaton Wagler,keaton wagler,"6'6"", 180 lbs",19.0,Jamal Murray,"The Los Angeles Clippers are expected to be involved in trade talks leading up to the draft, with rival teams thinking they could try to move. Keaton Wagler is right now earning looks in the No. 5-9 range with his crafty creation, special shotmaking, high IQ and adaptable game.",
Bleacher Report mock,Darius Acuff Jr.,darius acuff,"6'3"", 190 lbs",18.0,Damian Lillard,"With the No. 6 pick, you can bet on the Brooklyn Nets trying to trade into the top four. Regardless, they'll be thinking best player available over needs wherever they pick. They'll most likely be looking at the top guards, with Darius Acuff Jr. the type of engine who'll look attractive to a rebuilding team. Per sources, he's already conducted a workout for Brooklyn.",
Bleacher Report mock,Kingston Flemings,kingston flemings,"6'4"", 190 lbs",19.0,De'Aaron Fox,"The Sacramento Kings figure to be hunting down a new point guard with a number of lottery-caliber ball-handlers to choose from. Kingston Flemings' measurements were disappointing, as he came in just a half-inch taller than Darius Acuff (who'd been considered undersized) with four fewer inches of length. But he surprised by leading the NBA combine in the three-point star drill (overtaking Alex Karaban), making 19-of-25 shots. He also hit 15-of-25 spot-ups threes, encouraging signs for a guard whose bread and butter in college was separating into mid-range jumpers.",
Bleacher Report mock,Mikel Brown Jr.,mikel brown,"6'5"", 180 lbs",20.0,Coby White,"Mikel Brown Jr. will be in play for teams in the No. 5-9 range. The Atlanta Hawks should have an interest in one of the draft's top guards with CJ McCollum turning 35 years old before the season. Teams have wondered how much Brown's back problems influenced the inconsistency at Louisville. He was regarded as the top guard pre-season after Darryn Peterson, and his creativity, shotmaking and playmaking remain enticing entering the draft.",
Bleacher Report mock,Brayden Burries,brayden burries,"6'4"", 215 lbs",20.0,Derrick White,"Brayden Burries is being looked at as high as No. 6 by the Brooklyn Nets. He isn't expected to fall outside the top 10, with nearly all scouts confident in his strong physical profile, three-level scoring and low-maintenance style. In the late-lottery, he'll enter the best-player-available conversation for his downhill attacking, shotmaking, strong defensive tools and knack for scoring without needing heavy usage.",
Bleacher Report mock,Nate Ament,nate ament,"6'10"", 207 lbs",19.0,Will Riley,"Nate Ament has been selective about who he's working out for, but he has already visited multiple top-10 teams. He measured well in Chicago, coming in even taller than expected barefoot (6'9.5""). This is an enticing height for a player with his ability to attack and shoot from different spots. He plays well both on and off the ball.",
Bleacher Report mock,Karim Lopez,karim lopez,"6'8"", 222 lbs",,Franz Wagner,"Age, NBL production, a 6'8"", 221-pound frame and expanding versatility could suggest that Karim Lopez can offer effective, immediate minutes He would be a good fit for teams that have available roles and see a valuable archetype with Lopez's potential to provide physicality at the 4, spot-up shooting and ball-screen playmaking.",
Bleacher Report mock,Aday Mara,aday mara,"7'3"", 255 lbs",,Andrew Bogut,"After measuring 7'3"" barefoot with a 9'9"" standing reach, Aday Mara has started to look unique with nearly unmatchable advantage-creating physical traits. The numbers at Michigan backed up that idea—Mara finished fourth in the nation in box plus-minus with a rare combination of 12.0 block percentage and 19.0 assist percentage. Mara separates himself from the other unicorns his size with high-level passing to complement the rim protection, high-percentage finishing and sound footwork.",
Bleacher Report mock,Yaxel Lendeborg,yaxel lendeborg,"6'4"", 185 lbs",23.0,Aaron Gordon,"NBA teams won't put much stock into Yaxel Lendeborg's NBA combine performance or workouts. There is enough tape of his versatility and gradual improvement as a shooter and defender, and there is clearly enough evidence of high-impact minutes after his national championship run at Michigan.",
Bleacher Report mock,Labaron Philon Jr.,labaron philon,"6'4"", 185 lbs",20.0,Dejounte Murray,"Teams considering Labaron Philon will be drawn to his creativity. It's also difficult to find any worrisome holes in his statistical profile after he improved his shooting and finishing. He could slip to late lottery behind the young guards who may look more like natural playmakers. But unless Philon's slower release affects his three-point shot, there's a high likelihood his scoring ability will translate.",
Bleacher Report mock,Cameron Carr,cameron carr,"6'5"", 184 lbs",20.0,Devin Vassell,"A projected first-round pick entering the combine, Cameron Carr bet on himself by choosing to scrimmage and likely earned himself more money. His 30 points further strengthened his projection as a surefire NBA scoring wing with translatable shotmaking firepower and athleticism. He was able to separate with ease over defenders and convert, both as a shooter and finisher. The extreme, high likelihood of a three-and-D floor outcome should put Carr in play at the back end of the lottery.",
Bleacher Report mock,Ebuka Okorie,ebuka okorie,"6'2"", 186 lbs",19.0,Dennis Schroder,"Ebuka Okorie is drawing interest from late-lottery teams with workouts for the Atlanta Hawks, Dallas Mavericks and Chicago Bulls. Measuring at 6'1.25"", 186 pounds with a 6'7.75"" wingspan was considered a win for the freshman. He avoided red flags about his size, which scouts were somewhat worried about entering the combine.",
Bleacher Report mock,Morez Johnson Jr.,morez johnson,"6'9"", 250 lbs",19.0,Isaiah Stewart,"Morez Johnson could have only helped himself at the NBA combine. After measuring 6'9"" barefoot, 250 pounds with a 7'3.5"" wingspan, he surprised with 17-of-25 makes in the three-point star drill, got up for a 39.5"" max vertical and one of the top lane agility times. NBA teams understand his offensive limitations, but they also value what he does well and believe that physicality, finishing, defensive versatility and motor are sure to translate.",
Bleacher Report mock,Hannes Steinbach,hannes steinbach,"6'11""",,Zach Collins,"Hannes Steinbach measured like an NBA center at 6'10¼"" barefoot with a 7'2"" wingspan. The question is how many teams will be confident playing him at the 5 without great shot-blocking or daunting rim protection. Offensively, he's too skilled to overthink in the mid-to-late first round. Unteachable instincts help maximize his advanced footwork and soft hands on post-ups and putbacks.",
Bleacher Report mock,Christian Anderson,christian anderson,"6'3"", 178 lbs",,Darius Garland,"The vibes around Christian Anderson are strong coming out of the combine, where he measured a 6'6.25"" wingspan, got up for a 40.5"" max vertical and lit up a number of shooting drills. He's the more natural playmaker compared to Labaron Philon, Bennett Stirtz and Ebuka Okorie, and he currently has a strong case as the best shooter in that group.",
Bleacher Report mock,Allen Graves,allen graves,"6'9"", 225 lbs",19.0,Boris Diaw,"Scouts are anticipating first-round looks for Allen Graves based on his feel, analytics and specific versatility. He was never going to perform well at the NBA combine, as his athletic limitations are well-documented and mostly accepted. Graves will earn consideration from teams that see value in a strong power forward who shoots threes, thrives under the offensive glass, disrupts defensively and lights up analytic models.",
Bleacher Report mock,Bennett Stirtz,bennett stirtz,"6'4"", 190 lbs",22.0,Malcolm Brogdon,"The needle won't move much for Bennett Stirtz during the predraft process. He proved himself by nearly matching his big numbers at Drake with the same production and an Elite 8 run at Iowa. He's not going to win any athletic or physical competitions, and being a 23-year-old rookie will likely dissuade lottery teams in a draft that's loaded with ball-handlers. But in the teens or 20s, Stirtz will look like a value pick whose college impact, shotmaking, IQ and finishing/touch simply looks too advanced to write off because of age or limited speed/explosion.",
Bleacher Report mock,Chris Cenac Jr.,chris cenac,"6'11"", 240 lbs",18.0,Bobby Portis,"Despite flaws in Chris Cenac's statistical profile, there will be teams willing to bet on a 19-year-old with his 6'10"" (barefoot) size, 7'5"" wingspan, 240-pound frame, shooting confidence and motor. He'll be a popular reach candidate for teams looking to fill gaps and aren't concerned with finding high-upside scorers.",
Bleacher Report mock,Jayden Quaintance,jayden quaintance,"6'10"", 255 lbs",18.0,Derrick Favors,"Jayden Quaintance's draft stock will be heavily tied to medical reports after last year's ACL tear and this year's lack of availability. He measured exceptionally well in Chicago with a 7'5"" wingspan. And there is enough tape dating back to high school to buy a special defensive prospect.",
Bleacher Report mock,Meleek Thomas,meleek thomas,"6'3"", 190 lbs",19.0,Jordan Clarkson,"Shooting versatility and the ability to play in ball screens with pacing, a dangerous pull-up game and floater should help Meleek Thomas succeed in a combo-guard role. He mostly defended well at Arkansas and managed to blend in nicely despite having to share time with Darius Acuff Jr. Measuring 6'3"" barefoot does hurt his projection, however, and not being able to show that much playmaking will force teams to use their imaginations more than they'd want.",
Bleacher Report mock,Dailyn Swain,dailyn swain,"6'8"", 220 lbs",20.0,Herb Jones,"There's been a brighter spotlight on Dailyn Swain, particularly after Texas won three NCAA tournament games. His NBA role will likely differ from the one he plays now, where he's often handling the ball in ball screen and transition situations. But he'll certainly be able to use the skills he's developed to become a more well-rounded Swiss Army knife, specifically his improved creation, pull-up game, floater and passing.",
Bleacher Report mock,Luigi Suigo,luigi suigo,"7'3"", 289 lbs",19.0,Ryan Kalkbrenner,"Luigi Suigo had the NBA combine gym talking after he measured just under 7'3"" barefoot, 289 pounds with 7'5"" wingspan and a ridiculous 9'6"" reach. That size combined with his 18 three-point makes and 15.0 offensive rebounding percentage for Mega will look very enticing in the back of the first round, should he choose to stay in the draft.",
Bleacher Report mock,Koa Peat,koa peat,"6'7"", 245 lbs",19.0,Rui Hachimura,"Koa Peat staying in the draft indicates either confidence in draft stock or his chance to develop more effectively in the pros. While questions about shooting and fit have reduced interest around the freshman, they may have also helped turn Peat into a buy-low value pick for teams interested in adding a physical, interior scorer and frontcourt passing asset.",
