my_rank,player,tier,consensus_median,model_rank,delta_rationale
1,Cameron Boozer,1,3.0,1,"Model No.1 by a wide margin (0.70 All-Star prob), best comp cohort in class (Love/Bosh/Bogut, 40% All-Star rate), youngest top prospect (18.94) with best efficiency (65.3 TS% on 29.9 usg); production + age + cohort outweigh the market's athletic-ceiling preference for Dybantsa"
2,AJ Dybantsa,1,1.0,8,"Near-unanimous market No.1 with second-best All-Star tier prob (0.49); model regression dings his efficiency-vs-usage but 25.5 ppg as a teen wing and elite scouting consensus keep him in Tier 1; ranked below Boozer on evidence, not talent ceiling"
3,Darryn Peterson,1,2.0,2,"Unanimous consensus 2 and model 2 despite a hamstring-shortened 24 GP season that visibly suppresses his comp cohort (documented); 33.5 usage at 57.8 TS% as a freshman lead guard"
4,Caleb Wilson,1,4.0,3,"Consensus and model agree (4 vs 3); 0% cohort bust rate with Love/Bogut/Bosh neighbors; broken-thumb season-ending injury noted but pre-injury production was elite"
5,Keaton Wagler,2,5.0,7,"Consensus 5, model 7, no red flags; shooting-guard cohort (Monk/Kennard) is solid-not-spectacular, which caps him at the top of Tier 2 rather than Tier 1"
6,Kingston Flemings,2,7.5,4,"Model 4 with Fox/Rose in the comp list; rim-pressure guard whose cohort has real star outcomes; moves ahead of Acuff on model + cohort ceiling"
7,Darius Acuff Jr.,2,6.0,11,"Consensus 6, model 11; Devin Harris/Sexton cohort is fine but 20% bust rate and middling efficiency keep him behind Flemings within the same tier"
8,Nate Ament,2,10.0,25,"The board's biggest model override: regression dislikes his thin frame efficiency (0.19 bust prob) but his cohort is Barnes/Deng/Tatum (33% All-Star rate, 25.6 ceiling VORP), film shows a 6'10 handle-and-extension profile, and consensus is 10; the model has no concept of teenage 6'10 shot-creators"
9,Brayden Burries,2,9.0,16,"Consensus 9, model 16; two-guard cohort (Kennard/Afflalo) with 0% bust rate; safe floor, modest ceiling"
10,Aday Mara,2,11.5,9,"Model 9 and historic 9'9 standing reach; 0.51 Bench tier prob reflects the Thabeet path, but Mobley/Hibbert cohort upside at pick 10-12 cost is the right risk price"
11,Ebuka Okorie,2,20.0,6,"Major riser: model 6, 0.38 All-Star tier prob (3rd in class), cohort ceiling 24.1 VORP; the market is slow on a Stanford guard whose statistical profile matches lottery guards of the past"
12,Yaxel Lendeborg,3,12.5,13,"Consensus and model agree (12.5 vs 13); older (23) plug-and-play forward, Cam Johnson/Bridges comps; low ceiling, NBA-ready floor"
13,Labaron Philon Jr.,3,14.0,10,"Model 10 with Lillard in the comp list; freshman-film caveat from frame study; solid two-way guard value here"
14,Mikel Brown Jr.,3,7.5,28,"The board's biggest faller: 0.33 bust prob (worst in the top 20), 16.4 TOV%, 6.6 BPM, back injury limited him to 21 GP; market is buying pedigree and passing flair, the production evidence does not support top-8; D'Angelo Russell/Klay upside keeps him at 14 rather than lower"
15,Allen Graves,3,20.0,5,"Model 5 (13.4 BPM at 19.9) with J-Richardson/Otto Porter comps, but WCC competition has no conference-strength adjustment in the model (documented limitation); split the difference between model 5 and consensus 20"
16,Karim Lopez,3,13.0,17,"NBL teenager with Deng/Wagner-flavored comps but LOW confidence (non-NCAA data); consensus 13 vs model 17 with wide uncertainty flagged both ways; spread of 16 across boards is itself the risk signal"
17,Morez Johnson Jr.,3,17.0,14,"Consensus 17, model 14; Adebayo tail outcome in the cohort, energy-big floor; agreement lands him exactly here"
18,Hannes Steinbach,3,16.5,22,"Consensus 16.5, model 22; Ayton/Bosh statistical neighbors but 20% cohort bust rate; double-double producer whose defensive projection divides the sources"
19,Christian Anderson,4,21.0,15,"Model 15 (Haliburton/CP3 statistical neighbors with a shooting-volume mismatch note); undersized but productive; sneaky value at the back of the teens"
20,Dailyn Swain,4,23.0,20,"Consensus 23, model 20; Dudley/Childress glue-wing cohort with 1.9 floor VORP, lowest-variance profile in this range"
21,Chris Cenac Jr.,4,22.0,30,"Consensus 22, model 30; young 6'11 frame with weak production (7.7 cohort ceiling, lowest in the teens-20s); team-fit demand at center keeps him from falling further"
22,Bennett Stirtz,4,19.5,33,"Model 33 on age-22 discount, but the cohort contains Brunson (18.8) and his film shows real pull-up craft; older-guard archetype the model systematically dislikes and scouts systematically like"
23,Cameron Carr,4,15.0,29,"Consensus 15, model 29 with 0.27 bust prob; frame-study confirms the wiry build scouts flag; shooting is real, everything else is a projection"
24,Zuby Ejiofor,4,30.0,12,"Model riser (14.5 BPM, 2.1 bpg) discounted for age 22.2; Horford tail in the cohort; the model sees the production, scouts see the ceiling, 24 splits it"
25,Jayden Quaintance,4,20.5,40,"The medical swing pick: 4 GP post-ACL, model bust prob 0.55 on a near-empty sample the model cannot see past (flagged SMALL_SAMPLE); pre-injury he was a projected top-10 two-way big and the Drummond/Adams cohort tail is real; 25 prices the knee, not the talent"
26,Luigi Suigo,4,29.0,19,"7-foot Italian with the widest board spread in the class (17); model 19 but LOW confidence international data; Robin Lopez-type floor if the touch translates"
27,Isaiah Evans,4,27.0,23,"Consensus 27, model 23; microwave shooting wing, Lamb/Monk cohort, 0% All-Star rate in cohort caps the ceiling"
28,Koa Peat,4,26.0,24,"Consensus 26, model 24, full agreement; physical forward, 0% cohort bust rate but modest 3.4 median cohort VORP"
29,Henri Veesaar,5,28.5,32,"Stretch-five with Poeltl tail outcome; team-fit demand (LAL at 25 in our mock) slightly exceeds his talent rank"
30,Ugonna Onyenso,5,39.0,18,"Model 18 on elite BLK% (the bust model's favorite trait) vs consensus 39; pure rim-protection specialist, 0.60 Bench tier prob; 30 is the right price for one elite NBA skill"
31,Joshua Jefferson,HM,31.0,21,"Draymond-tail cohort (33% bust rate, 20% All-Star rate, highest variance in the class); positionless forward"
32,Sergio De Larrea,HM,30.0,27,"EuroLeague guard, SGA in the comp list but LOW confidence and no combine anthro; stash candidate"
33,Meleek Thomas,HM,26.0,31,"Tiny cohort ceiling (4.1) for a consensus-26 guard; market likes him more than the evidence does"
34,Tarris Reed Jr.,HM,32.0,26,"Big-East rim runner, 27% cohort bust rate; backup-center floor"
35,Braden Smith,HM,38.0,,"Not modeled (outside stats top 40 collection); decorated four-year point guard, assist-rate outlier; second-round value"
